region,week,week_of_year,rainfall_anomaly,monsoon_phase,festival_intensity,sev_dengue,sev_malaria,sev_flu,sev_diarrhoeal,sev_respiratory,sev_typhoid,sev_chikungunya,sev_leptospirosis,date
East,37,38,0.485,monsoon,0.2,1.165,0.126,0.038,0.222,0.172,0.046,0.0,0.0,2023-09-18
East,38,39,0.483,monsoon,0.0,0.801,0.15,0.0,0.254,0.117,0.066,0.046,0.042,2023-09-25
East,39,40,0.295,post-monsoon,0.0,0.812,0.072,0.006,0.199,0.191,0.0,0.012,0.0,2023-10-02
East,40,41,0.361,post-monsoon,1.0,0.732,0.065,0.083,0.174,0.28,0.055,0.0,0.02,2023-10-09
East,41,42,0.352,post-monsoon,1.0,0.67,0.022,0.0,0.115,0.305,0.009,0.0,0.0,2023-10-16
East,42,43,0.269,post-monsoon,1.0,0.578,0.011,0.062,0.082,0.703,0.025,0.0,0.028,2023-10-23
East,43,44,-0.008,post-monsoon,0.8,0.492,0.017,0.066,0.097,0.499,0.011,0.236,0.0,2023-10-30
East,44,45,0.185,post-monsoon,0.8,0.405,0.008,0.183,0.058,0.566,0.0,0.045,0.0,2023-11-06
East,45,46,0.145,post-monsoon,0.0,0.361,0.019,0.211,0.008,0.627,0.043,0.034,0.034,2023-11-13
East,46,47,0.063,winter,0.0,0.249,0.003,0.261,0.085,0.706,0.002,0.0,0.0,2023-11-20
East,47,48,-0.043,winter,0.0,0.222,0.0,0.367,0.032,0.73,0.01,0.027,0.0,2023-11-27
East,48,49,0.009,winter,0.0,0.153,0.007,0.409,0.013,0.796,0.0,0.0,0.0,2023-12-04
East,49,50,0.023,winter,0.0,0.112,0.0,0.547,0.007,0.778,0.036,0.0,0.001,2023-12-11
East,50,51,0.137,winter,0.4,0.085,0.08,0.567,0.003,0.812,0.007,0.008,0.0,2023-12-18
East,51,52,0.056,winter,0.4,0.02,0.002,0.667,0.007,0.756,0.0,0.002,0.0,2023-12-25
East,52,1,-0.001,winter,0.4,0.035,0.006,0.658,0.0,0.737,0.0,0.0,0.0,2024-01-01
East,53,2,0.003,winter,0.3,0.051,0.0,0.662,0.033,0.68,0.052,0.0,0.0,2024-01-08
East,54,3,-0.052,winter,0.3,0.029,0.025,0.722,0.074,0.557,0.003,0.0,0.0,2024-01-15
East,55,4,0.029,winter,0.0,0.011,0.011,0.687,0.067,0.483,0.022,0.022,0.03,2024-01-22
East,56,5,0.021,winter,0.0,0.014,0.01,0.542,0.08,0.387,0.0,0.0,0.04,2024-01-29
East,57,6,0.011,winter,0.0,0.001,0.491,0.531,0.079,0.334,0.0,0.028,0.0,2024-02-05
East,58,7,0.033,winter,0.0,0.0,0.018,0.44,0.117,0.275,0.0,0.037,0.033,2024-02-12
East,59,8,-0.004,winter,0.0,0.02,0.003,0.339,0.124,0.2,0.017,0.019,0.0,2024-02-19
East,60,9,0.107,winter,0.0,0.0,0.0,0.256,0.18,0.157,0.016,0.0,0.001,2024-02-26
East,61,10,0.009,winter,0.0,0.03,0.0,0.181,0.224,0.128,0.0,0.017,0.0,2024-03-04
East,62,11,-0.046,winter,0.7,0.014,0.011,0.133,0.3,0.113,0.012,0.011,0.036,2024-03-11
East,63,12,-0.011,winter,0.7,0.0,0.28,0.093,0.254,0.013,0.01,0.07,0.036,2024-03-18
East,64,13,0.048,winter,0.7,0.011,0.004,0.027,0.345,0.02,0.028,0.0,0.0,2024-03-25
East,65,14,0.155,winter,0.5,0.025,0.031,0.054,0.352,0.0,0.046,0.037,0.0,2024-04-01
East,66,15,0.046,pre-monsoon,0.5,0.003,0.0,0.0,0.432,0.009,0.017,0.0,0.0,2024-04-08
East,67,16,0.023,pre-monsoon,0.0,0.0,0.006,0.015,0.483,0.052,0.0,0.0,0.012,2024-04-15
East,68,17,0.088,pre-monsoon,0.0,0.028,0.041,0.0,0.542,0.042,0.027,0.0,0.0,2024-04-22
East,69,18,0.083,pre-monsoon,0.0,0.065,0.018,0.0,0.588,0.001,0.076,0.009,0.0,2024-04-29
East,70,19,0.255,pre-monsoon,0.0,0.021,0.261,0.017,0.679,0.0,0.187,0.0,0.037,2024-05-06
East,71,20,0.173,pre-monsoon,0.0,0.0,0.065,0.0,0.664,0.008,0.182,0.0,0.0,2024-05-13
East,72,21,0.18,pre-monsoon,0.0,0.0,0.098,0.011,0.702,0.019,0.277,0.0,0.0,2024-05-20
East,73,22,0.378,pre-monsoon,0.0,0.004,0.153,0.039,0.732,0.0,0.342,0.0,0.0,2024-05-27
East,74,23,0.51,pre-monsoon,0.5,0.017,0.17,0.019,0.824,0.025,0.444,0.0,0.0,2024-06-03
East,75,24,0.562,pre-monsoon,0.5,0.071,0.28,0.009,0.796,0.041,0.503,0.0,0.02,2024-06-10
East,76,25,0.593,monsoon,0.5,0.048,0.353,0.004,0.79,0.007,0.545,0.0,0.001,2024-06-17
East,77,26,0.513,monsoon,0.0,0.134,0.301,0.031,0.786,0.02,0.656,0.046,0.009,2024-06-24
East,78,27,0.618,monsoon,0.0,0.139,0.417,0.006,0.788,0.0,0.639,0.022,0.01,2024-07-01
East,79,28,0.906,monsoon,0.0,0.228,0.456,0.011,0.744,0.059,0.682,0.0,0.014,2024-07-08
East,80,29,0.726,monsoon,0.0,0.294,0.502,0.0,0.718,0.025,0.708,0.009,0.033,2024-07-15
East,81,30,0.929,monsoon,0.0,0.312,0.51,0.0,0.699,0.01,0.677,0.0,0.0,2024-07-22
East,82,31,0.857,monsoon,0.0,0.403,0.467,0.037,0.652,0.052,0.58,0.0,0.0,2024-07-29
East,83,32,0.827,monsoon,0.0,0.501,0.468,0.0,0.581,0.0,0.543,0.056,0.024,2024-08-05
East,84,33,0.818,monsoon,0.0,0.595,0.453,0.0,0.562,0.033,0.401,0.0,0.0,2024-08-12
East,85,34,0.745,monsoon,0.0,0.649,0.346,0.0,0.482,0.081,0.333,0.0,0.0,2024-08-19
East,86,35,0.694,monsoon,0.0,0.747,0.306,0.009,0.413,0.047,0.264,0.0,0.0,2024-08-26
East,87,36,0.666,monsoon,0.2,0.804,0.239,0.053,0.369,0.064,0.197,0.019,0.022,2024-09-02
East,88,37,0.493,monsoon,0.2,0.843,0.187,0.0,0.301,0.048,0.109,0.0,0.008,2024-09-09
East,89,38,0.501,monsoon,0.2,0.797,0.189,0.006,0.304,0.066,0.077,0.0,0.0,2024-09-16
East,90,39,0.25,monsoon,0.0,0.834,0.126,0.004,0.254,0.157,0.033,0.0,0.0,2024-09-23
East,91,40,0.307,post-monsoon,0.0,0.798,0.074,0.048,0.155,0.213,0.0,0.0,0.0,2024-09-30
East,92,41,0.262,post-monsoon,1.0,0.769,0.041,0.027,0.136,0.244,0.028,0.0,0.0,2024-10-07
East,93,42,0.271,post-monsoon,1.0,0.644,0.029,0.0,0.164,0.343,0.011,0.0,0.0,2024-10-14
East,94,43,0.164,post-monsoon,1.0,0.565,0.0,0.074,0.114,0.378,0.036,0.0,0.034,2024-10-21
East,95,44,0.187,post-monsoon,0.8,0.51,0.017,0.094,0.069,0.558,0.012,0.014,0.019,2024-10-28
East,96,45,0.197,post-monsoon,0.8,0.459,0.045,0.165,0.047,0.565,0.029,0.024,0.0,2024-11-04
East,97,46,-0.017,post-monsoon,0.0,0.289,0.0,0.192,0.048,0.628,0.014,0.0,0.01,2024-11-11
East,98,47,-0.061,winter,0.0,0.279,0.0,0.308,0.023,0.706,0.0,0.0,0.011,2024-11-18
East,99,48,0.029,winter,0.0,0.237,0.0,0.303,0.017,0.741,0.0,0.0,0.0,2024-11-25
East,100,49,-0.079,winter,0.0,0.145,0.011,0.484,0.028,0.777,0.0,0.048,0.006,2024-12-02
East,101,50,0.093,winter,0.0,0.101,0.016,0.483,0.002,0.815,0.026,0.0,0.028,2024-12-09
East,102,51,0.021,winter,0.4,0.068,0.001,0.584,0.0,0.812,0.0,0.003,0.037,2024-12-16
East,103,52,0.045,winter,0.4,0.073,0.0,0.634,0.0,0.74,0.027,0.043,0.0,2024-12-23
East,104,1,0.005,winter,0.4,0.018,0.0,0.683,0.044,0.776,0.0,0.002,0.043,2024-12-30
East,105,2,0.079,winter,0.3,0.0,0.0,0.72,0.0,0.658,0.028,0.008,0.0,2025-01-06
East,106,3,-0.0,winter,0.3,0.008,0.0,0.682,0.029,0.576,0.0,0.0,0.0,2025-01-13
East,107,4,0.003,winter,0.0,0.0,0.007,0.65,0.069,0.497,0.0,0.031,0.0,2025-01-20
East,108,5,0.048,winter,0.0,0.045,0.0,0.586,0.078,0.407,0.0,0.0,0.0,2025-01-27
East,109,6,0.063,winter,0.0,0.0,0.001,0.499,0.07,0.321,0.012,0.0,0.01,2025-02-03
East,110,7,-0.095,winter,0.0,0.0,0.026,0.429,0.125,0.266,0.0,0.0,0.0,2025-02-10
East,111,8,0.055,winter,0.0,0.037,0.018,0.329,0.084,0.173,0.0,0.026,0.0,2025-02-17
East,112,9,-0.145,winter,0.0,0.0,0.011,0.236,0.192,0.146,0.0,0.405,0.0,2025-02-24
East,113,10,0.045,winter,0.0,0.0,0.0,0.22,0.163,0.134,0.029,0.0,0.0,2025-03-03
East,114,11,0.075,winter,0.7,0.0,0.0,0.105,0.238,0.06,0.0,0.0,0.0,2025-03-10
East,115,12,-0.105,winter,0.7,0.0,0.051,0.101,0.266,0.027,0.0,0.0,0.0,2025-03-17
East,116,13,0.012,winter,0.7,0.0,0.008,0.051,0.323,0.038,0.0,0.0,0.249,2025-03-24
East,117,14,0.056,winter,0.5,0.001,0.0,0.044,0.359,0.033,0.02,0.002,0.008,2025-03-31
East,118,15,0.056,pre-monsoon,0.5,0.056,0.0,0.03,0.46,0.0,0.039,0.044,0.0,2025-04-07
East,119,16,0.197,pre-monsoon,0.0,0.0,0.024,0.014,0.488,0.0,0.053,0.005,0.033,2025-04-14
East,120,17,0.08,pre-monsoon,0.0,0.0,0.035,0.033,0.546,0.022,0.043,0.0,0.012,2025-04-21
East,121,18,0.159,pre-monsoon,0.0,0.022,0.057,0.013,0.579,0.0,0.059,0.007,0.0,2025-04-28
East,122,19,0.183,pre-monsoon,0.0,0.005,0.04,0.0,0.634,0.0,0.138,0.0,0.01,2025-05-05
East,123,20,0.274,pre-monsoon,0.0,0.013,0.087,0.0,0.697,0.017,0.215,0.02,0.0,2025-05-12
East,124,21,0.18,pre-monsoon,0.0,0.022,0.081,0.0,0.76,0.0,0.272,0.023,0.012,2025-05-19
East,125,22,0.354,pre-monsoon,0.0,0.027,0.158,0.001,0.758,0.005,0.328,0.027,0.058,2025-05-26
East,126,23,0.416,pre-monsoon,0.5,0.017,0.194,0.008,0.778,0.068,0.407,0.0,0.0,2025-06-02
East,127,24,0.524,pre-monsoon,0.5,0.074,0.216,0.015,0.775,0.0,0.485,0.014,0.016,2025-06-09
East,128,25,0.631,monsoon,0.5,0.152,0.285,0.0,0.793,0.009,0.597,0.015,0.053,2025-06-16
East,129,26,0.675,monsoon,0.0,0.09,0.364,0.0,0.809,0.0,0.647,0.0,0.0,2025-06-23
East,130,27,0.707,monsoon,0.0,0.145,0.42,0.027,0.769,0.016,0.706,0.032,0.0,2025-06-30
East,131,28,0.776,monsoon,0.0,0.209,0.424,0.0,0.737,0.007,0.714,0.007,0.0,2025-07-07
East,132,29,0.726,monsoon,0.0,0.253,0.489,0.0,0.755,0.0,0.698,0.0,0.0,2025-07-14
East,133,30,0.923,monsoon,0.0,0.347,0.44,0.0,0.692,0.017,0.627,0.0,0.02,2025-07-21
East,134,31,0.893,monsoon,0.0,0.384,0.501,0.016,0.644,0.0,0.571,0.031,0.028,2025-07-28
East,135,32,0.861,monsoon,0.0,0.525,0.518,0.0,0.62,0.0,0.531,0.0,0.0,2025-08-04
East,136,33,0.782,monsoon,0.0,0.532,0.427,0.048,0.571,0.035,0.459,0.012,0.0,2025-08-11
East,137,34,0.804,monsoon,0.0,0.674,0.395,0.001,0.498,0.06,0.366,0.0,0.0,2025-08-18
East,138,35,0.688,monsoon,0.0,0.819,0.33,0.037,0.38,0.369,0.245,0.019,0.016,2025-08-25
East,139,36,0.656,monsoon,0.2,0.774,0.247,0.031,0.418,0.044,0.258,0.028,0.0,2025-09-01
East,140,37,0.644,monsoon,0.2,0.832,0.227,0.0,0.311,0.074,0.158,0.0,0.0,2025-09-08
East,141,38,0.403,monsoon,0.2,0.878,0.09,0.0,0.26,0.097,0.079,0.0,0.007,2025-09-15
East,142,39,0.394,monsoon,0.0,0.853,0.058,0.0,0.225,0.188,0.026,0.034,0.0,2025-09-22
East,143,40,0.415,post-monsoon,0.0,0.758,0.106,0.016,0.252,0.199,0.001,0.0,0.0,2025-09-29
East,144,41,0.239,post-monsoon,1.0,0.708,0.051,0.021,0.179,0.278,0.089,0.0,0.02,2025-10-06
East,145,42,0.21,post-monsoon,1.0,0.694,0.018,0.064,0.088,0.297,0.01,0.0,0.0,2025-10-13
East,146,43,0.288,post-monsoon,1.0,0.601,0.006,0.077,0.109,0.41,0.001,0.0,0.0,2025-10-20
East,147,44,0.145,post-monsoon,0.8,0.518,0.044,0.1,0.107,0.504,0.031,0.0,0.0,2025-10-27
East,148,45,0.201,post-monsoon,0.8,0.437,0.018,0.162,0.077,0.558,0.045,0.02,0.0,2025-11-03
East,149,46,0.086,post-monsoon,0.0,0.363,0.0,0.189,0.1,0.639,0.028,0.029,0.006,2025-11-10
East,150,47,0.073,winter,0.0,0.302,0.0,0.278,0.051,0.726,0.0,0.051,0.012,2025-11-17
East,151,48,-0.073,winter,0.0,0.201,0.01,0.288,0.066,0.766,0.033,0.028,0.005,2025-11-24
East,152,49,0.062,winter,0.0,0.17,0.016,0.429,0.032,0.765,0.034,0.024,0.008,2025-12-01
East,153,50,0.054,winter,0.0,0.117,0.008,0.487,0.029,0.76,0.031,0.0,0.0,2025-12-08
East,154,51,0.113,winter,0.4,0.086,0.0,0.58,0.0,0.81,0.0,0.0,0.023,2025-12-15
East,155,52,-0.045,winter,0.4,0.039,0.038,0.632,0.051,0.736,0.002,0.0,0.029,2025-12-22
East-Central,0,1,0.085,winter,0.3,0.002,0.0,0.0,0.0,0.414,0.0,0.06,0.0,2023-01-02
East-Central,1,2,0.09,winter,0.3,0.004,0.008,0.0,0.0,0.354,0.0,0.0,0.0,2023-01-09
East-Central,2,3,-0.045,winter,0.3,0.038,0.014,0.009,0.043,0.315,0.0,0.0,0.004,2023-01-16
East-Central,3,4,-0.122,winter,0.0,0.033,0.0,0.0,0.075,0.256,0.01,0.021,0.021,2023-01-23
East-Central,4,5,0.085,winter,0.0,0.0,0.0,0.0,0.07,0.159,0.002,0.004,0.0,2023-01-30
East-Central,5,6,0.015,winter,0.0,0.0,0.0,0.0,0.114,0.11,0.043,0.0,0.0,2023-02-06
East-Central,6,7,-0.012,winter,0.0,0.035,0.027,0.0,0.115,0.087,0.019,0.0,0.003,2023-02-13
East-Central,7,8,0.082,winter,0.0,0.016,0.035,0.0,0.095,0.054,0.0,0.021,0.024,2023-02-20
East-Central,8,9,0.05,winter,0.0,0.0,0.09,0.0,0.109,0.028,0.027,0.002,0.0,2023-02-27
East-Central,9,10,-0.025,winter,0.0,0.037,0.015,0.028,0.15,0.022,0.0,0.024,0.0,2023-03-06
East-Central,10,11,-0.037,winter,0.6,0.043,0.057,0.0,0.19,0.004,0.171,0.019,0.0,2023-03-13
East-Central,11,12,0.054,winter,0.6,0.0,0.067,0.048,0.301,0.034,0.0,0.0,0.006,2023-03-20
East-Central,12,13,0.131,winter,0.6,0.0,0.11,0.0,0.268,0.025,0.0,0.034,0.0,2023-03-27
East-Central,13,14,0.176,winter,0.5,0.198,0.092,0.0,0.302,0.016,0.008,0.0,0.0,2023-04-03
East-Central,14,15,-0.042,pre-monsoon,0.5,0.462,0.149,0.008,0.398,0.001,0.025,0.0,0.0,2023-04-10
East-Central,15,16,0.151,pre-monsoon,0.0,0.221,0.202,0.024,0.41,0.0,0.046,0.0,0.029,2023-04-17
East-Central,16,17,0.162,pre-monsoon,0.0,0.014,0.324,0.0,0.534,0.046,0.056,0.006,0.0,2023-04-24
East-Central,17,18,0.16,pre-monsoon,0.0,0.02,0.309,0.0,0.568,0.0,0.009,0.0,0.041,2023-05-01
East-Central,18,19,0.35,pre-monsoon,0.0,0.0,0.421,0.011,0.62,0.019,0.073,0.0,0.013,2023-05-08
East-Central,19,20,0.332,pre-monsoon,0.0,0.05,0.494,0.0,0.601,0.0,0.118,0.0,0.0,2023-05-15
East-Central,20,21,0.402,pre-monsoon,0.0,0.0,0.561,0.0,0.681,0.0,0.202,0.04,0.035,2023-05-22
East-Central,21,22,0.513,pre-monsoon,0.0,0.003,0.646,0.0,0.745,0.031,0.274,0.0,0.0,2023-05-29
East-Central,22,23,0.62,pre-monsoon,0.4,0.026,0.727,0.003,0.743,0.026,0.241,0.038,0.0,2023-06-05
East-Central,23,24,0.611,monsoon,0.4,0.0,0.773,0.007,0.795,0.009,0.376,0.0,0.0,2023-06-12
East-Central,24,25,0.786,monsoon,0.4,0.002,0.872,0.012,0.817,0.025,0.413,0.0,0.0,2023-06-19
East-Central,25,26,0.731,monsoon,0.0,0.031,0.917,0.004,0.8,0.011,0.48,0.005,0.019,2023-06-26
East-Central,26,27,0.91,monsoon,0.0,0.062,0.909,0.0,0.801,0.0,0.525,0.004,0.031,2023-07-03
East-Central,27,28,0.817,monsoon,0.0,0.075,0.922,0.0,0.795,0.0,0.614,0.346,0.0,2023-07-10
East-Central,28,29,0.834,monsoon,0.0,0.169,0.96,0.019,0.753,0.0,0.605,0.014,0.014,2023-07-17
East-Central,29,30,0.897,monsoon,0.0,0.176,0.929,0.001,0.712,0.032,0.602,0.0,0.0,2023-07-24
East-Central,30,31,0.875,monsoon,0.0,0.253,0.888,0.044,0.692,0.011,0.539,0.067,0.0,2023-07-31
East-Central,31,32,0.815,monsoon,0.0,0.354,0.824,0.009,0.625,0.0,0.518,0.001,0.0,2023-08-07
East-Central,32,33,0.881,monsoon,0.0,0.44,0.711,0.0,0.608,0.0,0.427,0.0,0.002,2023-08-14
East-Central,33,34,0.682,monsoon,0.0,0.535,0.653,0.0,0.568,0.031,0.355,0.008,0.0,2023-08-21
East-Central,34,35,0.7,monsoon,0.0,0.602,0.602,0.0,0.541,0.041,0.251,0.006,0.0,2023-08-28
East-Central,35,36,0.619,monsoon,0.2,0.614,0.458,0.038,0.453,0.024,0.244,0.0,0.0,2023-09-04
East-Central,36,37,0.564,monsoon,0.2,0.996,0.382,0.005,0.378,0.041,0.175,0.041,0.0,2023-09-11
East-Central,37,38,0.476,monsoon,0.2,0.708,0.33,0.0,0.321,0.055,0.114,0.0,0.024,2023-09-18
East-Central,38,39,0.246,post-monsoon,0.0,0.676,0.296,0.033,0.307,0.071,0.055,0.007,0.014,2023-09-25
East-Central,39,40,0.284,post-monsoon,0.0,0.657,0.208,0.522,0.263,0.081,0.071,0.0,0.016,2023-10-02
East-Central,40,41,0.25,post-monsoon,0.8,0.612,0.165,0.028,0.159,0.103,0.056,0.015,0.0,2023-10-09
East-Central,41,42,0.189,post-monsoon,0.8,0.507,0.119,0.0,0.177,0.098,0.04,0.02,0.0,2023-10-16
East-Central,42,43,0.178,post-monsoon,0.8,0.438,0.097,0.021,0.126,0.172,0.0,0.0,0.005,2023-10-23
East-Central,43,44,0.057,post-monsoon,0.7,0.309,0.063,0.003,0.07,0.229,0.185,0.0,0.006,2023-10-30
East-Central,44,45,0.113,post-monsoon,0.7,0.246,0.3,0.0,0.059,0.283,0.018,0.0,0.0,2023-11-06
East-Central,45,46,0.031,post-monsoon,0.0,0.215,0.061,0.0,0.11,0.362,0.0,0.0,0.002,2023-11-13
East-Central,46,47,0.055,winter,0.0,0.142,0.024,0.027,0.123,0.427,0.048,0.0,0.0,2023-11-20
East-Central,47,48,0.04,winter,0.0,0.108,0.019,0.048,0.041,0.452,0.0,0.024,0.0,2023-11-27
East-Central,48,49,-0.088,winter,0.0,0.111,0.047,0.006,0.025,0.493,0.0,0.012,0.034,2023-12-04
East-Central,49,50,-0.118,winter,0.0,0.063,0.0,0.014,0.038,0.494,0.001,0.022,0.033,2023-12-11
East-Central,50,51,0.071,winter,0.3,0.042,0.007,0.0,0.01,0.526,0.025,0.0,0.0,2023-12-18
East-Central,51,52,0.099,winter,0.3,0.0,0.044,0.011,0.0,0.427,0.027,0.0,0.0,2023-12-25
East-Central,52,1,0.031,winter,0.3,0.008,0.0,0.16,0.056,0.385,0.0,0.0,0.009,2024-01-01
East-Central,53,2,0.033,winter,0.3,0.028,0.023,0.004,0.019,0.356,0.04,0.0,0.0,2024-01-08
East-Central,54,3,-0.082,winter,0.3,0.0,0.0,0.01,0.01,0.306,0.0,0.042,0.0,2024-01-15
East-Central,55,4,0.035,winter,0.0,0.019,0.012,0.0,0.0,0.248,0.0,0.051,0.0,2024-01-22
East-Central,56,5,0.023,winter,0.0,0.0,0.0,0.0,0.098,0.178,0.0,0.0,0.024,2024-01-29
East-Central,57,6,0.172,winter,0.0,0.037,0.027,0.037,0.067,0.12,0.0,0.003,0.022,2024-02-05
East-Central,58,7,0.087,winter,0.0,0.009,0.019,0.0,0.085,0.1,0.031,0.018,0.0,2024-02-12
East-Central,59,8,-0.002,winter,0.0,0.0,0.049,0.0,0.15,0.051,0.0,0.0,0.001,2024-02-19
East-Central,60,9,0.11,winter,0.0,0.021,0.039,0.0,0.112,0.045,0.0,0.0,0.0,2024-02-26
East-Central,61,10,-0.062,winter,0.0,0.003,0.048,0.0,0.214,0.043,0.002,0.014,0.0,2024-03-04
East-Central,62,11,-0.051,winter,0.6,0.0,0.115,0.018,0.151,0.049,0.0,0.0,0.0,2024-03-11
East-Central,63,12,-0.029,winter,0.6,0.0,0.064,0.015,0.232,0.027,0.004,0.0,0.011,2024-03-18
East-Central,64,13,0.079,winter,0.6,0.001,0.119,0.0,0.288,0.013,0.0,0.071,0.002,2024-03-25
East-Central,65,14,0.035,winter,0.5,0.039,0.117,0.0,0.345,0.0,0.029,0.032,0.0,2024-04-01
East-Central,66,15,0.078,pre-monsoon,0.5,0.0,0.164,0.01,0.368,0.009,0.01,0.023,0.023,2024-04-08
East-Central,67,16,0.174,pre-monsoon,0.0,0.0,0.232,0.0,0.443,0.0,0.0,0.034,0.0,2024-04-15
East-Central,68,17,0.137,pre-monsoon,0.0,0.471,0.315,0.018,0.481,0.0,0.032,0.0,0.008,2024-04-22
East-Central,69,18,0.276,pre-monsoon,0.0,0.0,0.34,0.007,0.526,0.029,0.052,0.039,0.024,2024-04-29
East-Central,70,19,0.348,pre-monsoon,0.0,0.0,0.409,0.006,0.563,0.054,0.062,0.007,0.0,2024-05-06
East-Central,71,20,0.302,pre-monsoon,0.0,0.0,0.502,0.002,0.638,0.022,0.134,0.0,0.002,2024-05-13
East-Central,72,21,0.263,pre-monsoon,0.0,0.002,0.586,0.018,0.727,0.0,0.208,0.014,0.0,2024-05-20
East-Central,73,22,0.434,pre-monsoon,0.0,0.0,0.648,0.008,0.732,0.035,0.256,0.001,0.0,2024-05-27
East-Central,74,23,0.528,pre-monsoon,0.4,0.0,0.678,0.016,0.723,0.0,0.308,0.0,0.244,2024-06-03
East-Central,75,24,0.512,monsoon,0.4,0.0,0.841,0.0,0.725,0.0,0.369,0.008,0.0,2024-06-10
East-Central,76,25,0.744,monsoon,0.4,0.046,0.831,0.0,0.814,0.027,0.441,0.012,0.037,2024-06-17
